area,aspect_ratio,circularity,solidity,h,s,v,label
1796.5,0.9629629629629629,0.6931648022295812,0.9485216473072862,174.13471778487755,203.94621938232163,151.95473908413206,0
611.5,0.65,0.535054763694385,0.8451969592259848,7.881381381381381,131.95345345345345,104.7987987987988,0
491.5,0.7272727272727273,0.6171231916090028,0.9051565377532228,8.332096474953618,130.59554730983302,107.92578849721707,0
991.0,0.9574468085106383,0.3471662292525441,0.6998587570621468,8.749536178107606,129.5705009276438,105.74768089053804,0
1161.0,0.7586206896551724,0.306359607895231,0.6666666666666666,8.664817749603804,127.98890649762282,106.87797147385103,0
1104.0,0.9791666666666666,0.31493977688090485,0.75,9.002500000000001,128.58583333333334,107.84083333333334,0
1324.5,2.264705882352941,0.3413655573421168,0.6843192973391888,153.2466713384723,201.11913104414856,133.7435178696566,0
1228.5,2.6923076923076925,0.5079970482778987,0.9296254256526674,168.63865546218486,219.25286478227653,100.414820473644,0
719.5,0.5853658536585366,0.6852152001262906,0.9644772117962467,173.10594315245478,225.08785529715763,103.74806201550388,0
1089.0,2.72,0.479643256538347,0.9128248113998324,170.9802913453299,221.77292202227937,96.41902313624679,0
734.0,1.0,0.5422191730450079,0.8848704038577456,151.42317380352645,201.11335012594458,110.41561712846347,0
497.5,0.5365853658536586,0.3027600553095399,0.7041755130927105,8.136042402826854,133.69964664310953,97.2226148409894,0
556.0,0.5116279069767442,0.36826782476013276,0.7528774542992552,8.021035598705502,133.41100323624596,99.55016181229774,0
544.0,0.5882352941176471,0.25391023770295745,0.564608199273482,7.993548387096774,133.42096774193547,101.80322580645161,0
1327.0,0.8181818181818182,0.49317513309023253,0.8074231822330392,8.063120567375886,130.01560283687945,116.80992907801419,0
1254.0,0.7777777777777778,0.4577585789910111,0.8134933506325008,8.43605086013463,128.93866866118174,116.41436050860135,0
1155.0,0.7592592592592593,0.42383393498732735,0.7851801495581238,8.468926553672317,128.6271186440678,115.34059725585149,0
1227.0,0.6833333333333333,0.3603558424828227,0.7893213251849469,8.44275966641395,128.82714177407126,118.15466262319939,0
1140.5,0.65,0.3712969189251682,0.7649228705566734,8.386178861788618,129.51544715447153,115.69756097560976,0
1258.0,0.711864406779661,0.47787011438109234,0.8134497251859036,8.207462686567164,129.90970149253732,116.10373134328358,0
1363.0,0.711864406779661,0.44861116373333165,0.8228191971023242,8.441844459738471,130.16930488644184,116.97315898141775,0
3260.5,9.19047619047619,0.22311967436228605,0.9302425106990014,150.09853068280034,205.75943532123307,101.8968596946125,0
983.5,1.65625,0.5745228278972768,0.9534658264663112,174.01522359657469,189.5708848715509,175.418648905804,0
1310.5,3.36,0.39633773893535307,0.8863713222861008,141.14356787491116,192.89267945984363,96.73063255152807,0
1802.5,3.793103448275862,0.3354834119299248,0.8918852053438892,144.2641411520498,197.5023352361183,96.03892060197197,0
